"AMPHIBIA, REPTILIA",CRUSTACEA,INVERTEBRATA AQUATICA,MAMMALIA,MOLLUSCA,PISCES,PLANTAE AQUATICAE,Albacore,Alewife,Amer. plaice(=Long rough dab),American angler,American cupped oyster,American eel,American gizzard shad,American lobster,American sea scallop,American shad,American yellow perch,Atlantic Spanish mackerel,Atlantic bay scallop,Atlantic bluefin tuna,Atlantic cod,Atlantic croaker,Atlantic halibut,Atlantic herring,Atlantic mackerel,Atlantic menhaden,Atlantic rock crab,Atlantic searobins,Atlantic surf clam,Black drum,Black seabass,Black stone crab,Blue crab,Blue mussel,Blue runner,Bluefish,Buffalofishes nei,Californian anchovy,Caribbean spiny lobster,Catfishes nei,Chinook(=Spring=King) salmon,Chum(=Keta=Dog) salmon,"Clams, etc. nei",Coho(=Silver) salmon,Common carp,Dungeness crab,Euro-American crayfishes nei,Finfishes nei,Flatfishes nei,Freshwater fishes nei,Great Northern tilefish,"Grunts, sweetlips nei",Gulf menhaden,Haddock,King mackerel,Lake cisco,Lake trout(=Char),Lake(=Common) whitefish,Lingcod,Marine fishes nei,Mullets nei,Natantian decapods nei,Northern brown shrimp,Northern pink shrimp,Northern quahog(=Hard clam),Northern red snapper,Northern white shrimp,Ocean quahog,Opalescent inshore squid,Pacific bluefin tuna,Pacific cod,Pacific halibut,Pacific herring,Pacific jack mackerel,Pacific ocean perch,Periwinkles nei,Pink(=Humpback) salmon,"Porgies, seabreams nei",Rainbow smelt,Rainbow trout,Rays and skates nei,Red hake,River and lake turtles nei,Sablefish,Saithe(=Pollock),Sand gaper,Sand weakfish,"Scorpionfishes, redfishes nei","Sharks, rays, skates, etc. nei",Sheepshead,Silver hake,Skipjack tuna,"Snappers, jobfishes nei",Sockeye(=Red) salmon,Spot croaker,Spotted weakfish,Squeteague(=Gray weakfish),Striped bass,Summer flounder,Swordfish,Tropical spiny lobsters nei,Tusk(=Cusk),Various squids nei,Whelks,White hake,White perch,White weakfish,Whitefishes nei,Winter flounder,Witch flounder,Yellowfin tuna,Yellowtail flounder
60,10150,51.07142857,1069.857143,9112.745098,4555.351759,37175,5460,8933.333333,1900,200,96350,400,400,14600,11400,625,1600,2450,7000,666.6666667,21100,3750,100,40100,2500,189000,600,100,135000,450,700,900,34050,1250,500,1700,11300,34000,5400,16600,4066.666667,16850,1400,4660,10300,6350,2800,15200,6875,3850,50,200,502200,5300,1100,400,100,2300,1500,11375,3750,24650,69300,10600,48900,4100,33700,5100,9100,3833.333333,4800,5800,4300,11600,2150,100,7566.666667,100,450,300,100,1300,200,2750,5700,9450,700,7450,225,50,5950,6750,300,11150,2600,1600,3650,1533.333333,2500,100,200,1000,433.3333333,1100,3000,900,400,3000,4550,3100,31980,32700
60,9711.764706,186.5714286,817.6857143,9309.803922,4663.032581,34975,3620,9233.333333,1700,300,93700,300,500,13100,10300,500,1400,2200,3500,466.6666667,22900,5100,100,26200,2000,184600,700,100,169900,450,800,900,31550,1900,350,2400,11800,63000,5100,16600,5466.666667,11950,1733.333333,4850,13400,3250,4800,21900,7275,5700,200,200,487100,3800,1350,400,100,2200,1900,14800,3975,34500,45300,13800,43100,3900,31700,5300,5500,3033.333333,3800,5200,10150,4700,1450,100,7466.666667,100,750,300,100,1200,300,2800,6700,8600,900,9100,425,500,9650,7900,350,11500,2450,2000,3700,2233.333333,4500,175,100,1300,600,1400,2500,700,400,2700,4450,2500,31960,29800
71.8,10046.55882,287,944.2285714,9943.607843,4689.94,39226.75,4992.8,10633.66667,2042,416,94876,706,507,12946,11939,400,1874,2495,4523,363,26606,5080.5,79,32607,1074,159881,651,124,180287,478,881,1175,34503.5,2113,167,2390.5,11523,40084,4938,15902,4281.333333,9613.5,1166.333333,6213.333333,11134,3185,3369,17085,7788.75,5844,316,204,587717,3731,2373.5,265,166,2225,2015,14822.75,3941.25,32378.5,50377,13407,44311,4103,27981,3042,13113,1817,4542,4203.5,12772,5773,1413.5,64,6060.666667,90,1003,93,96,1194,320,3545.5,8857,9991,1016,7990,270.5,313.5,6693.5,13123,388.5,11062.5,2340.5,1909.5,3305.5,1671,6383,472.5,88,1341,831,2583,3809,651,341,2258,3643,1861,31068,24957
65,9373,302.4285714,824.6857143,9567.653846,4671.675,39463.25,4443.4,9070.666667,2494,691,82401.5,811,684,13698,19096.5,312,1447,2589,5495,739,25461,6659.5,77,36170,1864,137594.5,522,74,173509,417.5,1168.5,980,31152,2544,393.5,2321.5,10928,74697.5,3363,15807,4501.333333,7498,1221,4191.333333,10428,4163,5374,10912,7971.5,4541,395.5,114,542794,7358,1461,235,207,2145,2081.5,14748.75,3570,31777,44736,12555,44960,3853,26802,4705,10734,2474.666667,5551,4813,11600.5,8341.5,883.5,61,8807.333333,148,613,327,147,1385,299,4372,9494,9381.5,1176,7928.5,208,245,9597,14337.2,418,11865.5,2938,1709,4159.5,1338,7608,619.25,93,1408,663,2627,3697,605,536,1109,3873,2147,31055.8,19457
29.4,10649.47059,519.9285714,661.4857143,9456.962264,4997.747573,39617,2661.857143,8122.666667,3548,863,108075.5,567,1320,14280,19748.5,293.75,1564,4093.5,4853,612.6666667,25415,7035,63,50130,2929,181821.5,644,50,102152,669.5,961.5,1126,26751,3859,274,2409,10092,59765.5,2430,13786,4549.333333,12885.5,1262.666667,5463.333333,10861,7812,3759,11159,8536.75,4512,551.5,133,561525,5805,1770.5,204,148,2462,1776.5,15816.75,3090.25,38057.5,61676,11502,45368,3479,32035,20325,9229,2841.666667,5870,4115.5,9857.5,10179.5,1215.5,72,15487.33333,175,1238,312,55,2256,125,3989,10800,10778,803,10042.5,149.5,280.5,10815,10296.55556,411,18974,1264.5,1556.5,4734.5,988.3333333,10769,491.5,135,1269,799.6666667,1773,4132,482,480,819,3589.5,1886,22291.875,17225
21,12191.08824,510.1428571,810.2,10491.92453,4609.201456,40202.5,2053.571429,8023,7006,1297,84933.5,336.5,505,14382,48776.5,416.5,1554,3104,5861,603,34262,7802.5,56,50627,1362,183625.5,746,60,104792,158.5,1329,1098,29438,6491,250,2567,9702,52602,2318,15770,4940.666667,13018,2506,4384.666667,9926,13693,665,16031,7477.5,5240,1076.5,9,447461,12896,2133.5,236,173,227,1711,14062.5,2481.75,43526,67115,17837,42791,2791,37215,68783,8804,1962.666667,4966,3983.5,10032.5,24978.5,1262.5,38,18997.33333,265,919,252,171,1754,89,5755.5,13051,10935,348,9868.5,348,80,10277.5,6606.111111,403,20396.5,1551.5,838,4240,777,8873,422.25,169,1237,198.6666667,840,4941,559,437,2342,5254,2482,16238,16537
29.6,12307.82353,643,709.9714286,11750.67925,5514.659367,40190.25,2417.428571,8312.333333,9517,1769,105162,624,1220,15612,63424,401.75,2006,1655,4055,513,39249,7475.5,93,50490,1614,178369.5,775,45,79313,242,1129.5,1455,31531,9018,250,2622.5,11167,8024,2080,14798,4502.333333,11450,2335,4473.666667,9373,8902,5154,16885,8751.25,6167,1678,141,820352,17911,1254,150,158,2170,1494,12552.5,3606.75,35020,63624,16910,36303,2517,35279,85950,16965,1557,4952,3963,9772,15422.5,1222.5,13,29464.66667,391,797.5,249,351,2196,124,6619.5,17715,10758,534,13474,585.6666667,213.5,11583.5,12017.22222,470.5,22386.5,2074,966,4857.5,680,8472,1058.5,93,1535,203.3333333,1461,4948,375,408,696,6110,3550,14964.75,11418
49.2,12016.68571,54.93333333,715.4705882,12196.7963,5857.645238,40702.25,1030.571429,4310.333333,13557,1564,110675.5,590.5,1814,16761,54284,317.75,2296,2714.5,1805,462.3333333,53635,6457.5,85,83459,2682,215199.5,629,13,90831,19,896.5,1770,37369.5,7262,475,3555,13935,24254.5,2959,13091,4314,19259,2918,5755.666667,10710,8681.5,1544,9133,7612,5578,1879.5,68,702073,25033,1595.5,172,190,2141,1843.5,14102.5,4236.75,22158.5,60928,16193,35313,2222,33784,127880,11442,758.6666667,8923,4301.5,24284.5,10067.5,1535.5,43,38335,602,910.5,240,684,2539,227,5017,17986,9333.5,543,23980.5,508.75,279.5,8067.5,13325,698,47072.5,2308.5,993.5,7954,685.6666667,10704,1084,153,1949,105.6666667,984,4730,593,399,906,8675,3382,13132.625,19331
26.2,10973.31429,49.2054,708.9117647,15764.12727,5661.490566,12175.75,1900.857143,3601.333333,12165,905.5,101580,485.5,472,17007,49119.5,275.5,2024,1399,1256.5,429.6666667,45570,4097.5,86,63102,2718,201220,341,12,111255,34.5,846.5,1845,44892,8659,375,3778.5,12436,28714.5,2463,14810,4697.666667,22426,6968.5,5143.333333,9982,8068.5,890,8405,8492.5,3538,1949,81,552567,25095,1638,185,320,2528,1705,13458,4156.75,15329.5,67461,17930,55988,2606,37407,135743,21639,292,29063,6055.5,24475,7036.5,1220,119,38874.33333,883,624.5,28,297,2421,131,6511.5,16934,8397.5,519,26944,554,290.5,8288,10095.55556,760,51295.5,1487.5,901,5982,584,8123,1026,539,1828,73.33333333,586,5523,587,348,1128,9684,3143,14159.625,15452
21.2,8221.285714,507.6318125,991.2941176,13908.39286,7231.432941,1195.25,1501.857143,4724.333333,12485,1287.5,101005.5,219.5,461,20052,37188,526.2,1245,1393,4457.5,403.6666667,51018,1899.5,76,23253,3810,210168.5,950,38,137918,23.5,903.5,2130,43516.5,14094,464,3791.5,14110,2152,2053,15391,3693,18125.5,623.75,4439.666667,11993,6523.5,1633,6910,11007.75,4840,1435.5,84,923585,14770,1516.5,142,352,3714,2125,11340,2896.75,4792,64034,10853,44724,3142,30064,132674,1820,255.6666667,66186,10220,29310.5,8981,2415,81,29353.66667,706,598.5,291,3411,2165,90,9287.5,13980,8920,276,22680,530.25,417.5,8511,15787.33333,770.5,70340.5,1643.5,834,3978.5,253.6666667,11757,1380.75,314,1940,791,1564,6414,141,34,1667,7736.5,6033,13706.875,33069
3247.833333,8422.378378,504.2826,662.7941176,18988.5,7639.212963,9750,1958.714286,5396.333333,10229,1260,78440.5,265,1168,19943,33317,439,1152,946.5,3298.5,379,43897,2409.5,77,33468,4524,164248,1108,22,175749,14,1121.5,1774,46207,10990,452.5,2883.5,10181,4036,2369,11961,3283,25705.5,4395.5,7344,11964,5660.5,1935,10658,12324.75,3116,1335.5,85,982888,11792,1202.5,129,457,4756,2111,11099.5,2583.5,5924,65500,11269,32207,2606,40747,145709,564,227.6666667,90950,10826,23755.5,5295.5,2986.5,36,41672.66667,614,1862,879,4099,2280,83,11782,17933,8047,87.5,19580,576.75,460.5,10489.5,16288.77778,795.5,52088,1313,750.5,4474,408,14146,1489.25,490,1787,179.6666667,1659,6767,175,54,1883,7367.5,6643,12529.875,17823
3435.333333,9229.555556,636.0348,109.5588235,14799.58929,8009.177829,27079.66667,1172.142857,5760.333333,8375,1381.5,68051,178.5,1291,20934,28869,347.4,1491,1318,2576.5,419,37568,2531.5,90,25915,6749,179535,994,11,182833,13.5,920.5,1751,43227,13774,234.5,3116.5,10487,3303.5,1667,13162,4110.666667,20978.5,6859.75,7359,12188,6414.5,2519,6500,18547.75,2731,1269.5,70,883514,6539,1208,120,428,3939,2029,9042.5,2404.75,7611,70852,12139,30524,2213,44573,195128,9308,1068.333333,90929,13797,32222.5,4729,2189,17,48253.66667,538,753.5,773,3930,1821,67,14421.5,19721,7862,135.5,18657.5,637.75,383,10102.5,10633.44444,963.5,53542,1262.5,547.5,3719.5,181.6666667,12804,1524.25,742,2363,270,1929,7370,217,56,1840,5457.5,6396,15627.125,11140
4660.833333,10417.94444,1016,45.85714286,12630.66071,8609.254042,13874,750.1428571,4433.333333,6118,1205,62317,192,1093,20890,36689.5,333.4,1519,1464,2357,96.33333333,27730,2808.5,46,36007,9639,128106,772,24,195162,6,1057.5,1658,41842.5,16957,125,3168,10882,3047.5,2362,12878,4663.666667,19609,6014.25,8742.666667,8064,5082.5,6433,5385,22371,3046,1357,99,828503,4975,1243.5,78,529,4298,1301.5,12155.75,2454.5,14217,76899,9727,20068,1845,53273,169725,19153,1519.666667,113390,17597.5,29657.5,5369,3671,6,40619,604,1083.5,526,4190,2129,39,19465,24707,5789.5,140.5,20979.5,672.25,426.5,9087.5,11968,1000.5,48129,1371.5,776,4672.5,50.66666667,11080,1109.5,711,1882,8.333333333,3741,6390,219,44,1604,4028,5149,16599.625,10379
5801.5,10037.72973,1616.266667,469.0285714,13960.76786,10245.23557,26846.33333,617.7142857,3113.333333,5057,3452.5,50039,186,908,20665,59842,397.4,1771,1551,1452,389.6666667,26808,2505,31,38345,12517,161590.5,1343,23,149183,3.5,1078.5,1612,45005,18815,298.5,3453,11532,2915.5,2169,13996,6038.666667,19577,5937.5,5393.666667,12553,6681.5,7810,21918,21362.25,1793,1803,126,907103,3027,1038,124,507,4199,1594,10379.25,3416.25,11237.33333,68090,8912,21512,1505,42554,187562,19576,265.6666667,136900,17245.5,27805,6049,4810,355,25599,520,1029.5,484,5035,2009,72,23353,20704,8007,124.5,26895,863.5,756,7866.5,11601.33333,1173,51576.5,1749,770,4066,65.33333333,11626,1106,441,1390,14.66666667,2830,5830,334,53,1739,4516.5,3804,21406.625,7560
10454,10563.08108,2089.130867,616.3428571,14097.875,10086.03678,17877.75,1234.857143,2472.333333,4701,3792.5,29497,279.5,572,22064,57926,357.6,1210,961,1164.5,307,34506,2405,78,41003,12375,180231,692,29,156204,36,1052,2268,49906.5,33552,547.5,3822.5,2327,2818,2438,6891,6905.333333,33218.5,3304.75,6641.333333,1232,10759.5,8010,3354,38958.75,42,1033,148,638733,2916,977,186,558,4875,1482.5,10567.5,3701.5,11755.66667,63487,7992,28091,1794,35830,171707,36451,259,232729,18469.5,29808.5,5113.5,2703,675,26684.66667,761,694.5,506,5798,1739,73,24409,14992,7415,84,29180.5,1640,794,8067,15119.88889,1540,43099.5,1623,702,4656.5,61.33333333,13500,1453.5,812,1072,32.66666667,3035,4788,340,49,1950,4205.5,3629,15892.625,5041
12335.16667,10982.59459,2039.522067,411.4,13214.41963,9706.043578,27499,784.4285714,2147,3492,5678.5,25891,263.5,450,24007,57344.5,369,1688,1533,680,401.6666667,35572,1879.5,20,53142,14638,178434,247,10,163721,2.5,851,2404,47212,22688,189.5,2365,1684,3037,2438,6276,4626.666667,15578,5335,6413.333333,1055,9295.5,9613,4550,12608.5,514,576.5,174,583350,1727,855.5,161,528,4460,1815,8466.25,3582.75,12791.66667,71938,7733,17865,1454,32217,191746,27400,316.3333333,213224,17038,27067.5,6446,5065,1735,55626,793,696.5,613,6642,1559,63,22133.5,10546,7242,68,30305.5,1939,1058,8925,12377.55556,1544.5,62154,1654,780,3217.5,43,7860,1334.25,753,934,202.3333333,2330,4550,338,43,1607,3409,2370,15516.125,5577
25281.33333,10513.925,1855.5275,259.6,12136.17238,10025.959,16194.5,1073,2605,2488,5175,33008.5,210.5,226,27677,133859,358,1519,1310,1298,389,43491,1539,16,51300,31922,214099,344,22,173502,31,1108,2639,46087.5,16413,429.5,3130.5,704,2991,2606,4922,3825.333333,15921,4925.5,7123.666667,777,7124,3449,5060,23861,899,771,291,519583,2468,964.5,255,484,4812,1654,11023.75,3237.75,9041.333333,39700,3057,17202,1156,17061,177322,16366,444.6666667,254927,15971,24521.5,2032,13828.5,656,41185.33333,885,743.5,883,11342,1758,79,20367,9545,6180,61.5,38661.5,1668,883,10092.5,12726.22222,1614,71966.5,1550.5,389.5,2241,159.3333333,4045,2188.25,623,1225,207.3333333,1553,4928,314,56,1626,3411,1479,13217.75,14361
20505.16667,11984.45,2110.72875,159.2,11931.4224,8953.634703,29416.5,941.4285714,2141.333333,4284,6135,21910,277.5,285,28729,65784.5,317.8,1649,1695.5,1031,271.6666667,42019,863,31,60884,28852,198762.5,524,44,159860,43,886.5,2855,51081,16859,272.5,3001,1265,4364.5,2878,5072,2965.333333,17278,2907,8295,949,5061,4968,3873,10874,371,927.5,474,550730,1838,971,354,414,4513,1876.5,9603.5,3256.25,7858.666667,34316.5,2874,26030,1069,20544.5,186360,30909,121.3333333,251164,15030,27928,820.5,6802.5,680,54857.66667,601,725.5,546,11212,1676,30,18962.5,7867,4534,49.5,22105,1396.5,805.5,8285.5,19733.22222,2997,60962,1700.5,654.5,1966,128,6311,2037,341,1497,356.3333333,2666,5605,729,74,1813,3768,1790,5985.125,7771
31917,11954.075,1957.93,204.2162162,12357.93851,9039.127273,20943.25,1198.285714,775.6666667,6652,8154,34376,307.5,532,25307,53819,338.6,1566,840.5,782,325,27798,991.5,22,59924,12629,170273,743,34,182269,37.5,965,1961,44143,21362,299.5,2629.5,1049,3102.5,1792,4906,2611.666667,20504.5,2783,8645.666667,780,9454,12175,3529,16938,919,1214,385,432848,2318,1017,279,313,4603,1200.5,12781.75,2549.25,13918,27067,2737.5,24689,1510,19954,192496,13203,355.6666667,249717,15542.5,36073,595,10315.5,624,30805.33333,483,812,1041,12473,2157,35,17112,7186,3942.5,63.5,28365.5,1832,994,8140.5,19179.77778,1522.5,78602,1561.5,537,1693.5,193,7622,2235.75,418,1581,586.3333333,2546,8993,818,54,1909,3207,2235,9442.5,5631
33579.83333,11489.7,2136.515,208.5384615,13044.18419,9718.165533,21277,1129,285.3333333,5808,9382.5,42034.5,261.5,774,25634,28351,340.8,1412,1179,1335,348.3333333,22908,1978.5,19,56392,4691,173903,880,17,179354,32.5,939,2483,57020.5,14931,410,2398.5,982,2219.5,2548,5463,2773.333333,20507,5141.25,6191,1106,12576.5,22105,5243,12694.25,1415,1336.5,484,551822,879,1229,388,324,5162,1089,16844.25,3579.5,9768.666667,26519,3745,23026,1513,16180,197559,32262,185.3333333,218996,14647,24170.5,890.5,10324.5,384,51877.33333,583,838,268,8103,1643,28,17569.5,5670,4573,70,27366,1715.25,1090,8055.5,17582.11111,1951.5,89569,1681.5,530.5,1595,254.3333333,5771,2489.25,208,1428,318.3333333,3687,7460,935,44,1839,2633.5,2595,5960.75,3607
30980.5,9167.780488,2044.421688,213.5128205,12866.083,9844.61573,29210.25,1825.571429,146,5062,9569,46094.5,362,1124,30126,30594,213.4,1387,1357.5,262,354.6666667,17533,2496,21,48667,8959,143251,718,49,167600,51,1016,3177,48324.5,10891,276,2228.5,896,1890,3420,5262,2861.666667,30308.5,6762.25,11870,824,10434,11130,4430,7369.25,1078,759,536,767448,328,1006.5,345,298,5110,1146,7804,3463.75,7352.666667,25787,2878.5,10562,1520,18419,177874,55108,310.3333333,208785,13514,25591.5,1448.5,7000,202,55218.33333,644,596,174,8846,1701,13,16179.5,3737,2595,95,20798.5,1839.25,1065,8021,17010,9178.5,69131.5,1991,531,1383.5,249.3333333,4961,1730.5,256,1081,567.3333333,2237,4695,747,35,2436,1796,2693,10306.75,3094
49349.25,7102.826923,1328.347826,191.65,11682.19672,7158.017794,10549.14286,1058.714286,154.3333333,4643,13287.5,59933.5,297,1170,31734,65795,456.3333333,1275,1183.5,778,448,13633,3432,11,77729,8444,363289,915,119,145204,1430,637.5,1378.5,48800,17498,246,1883,972,2016,3186,3816,5701,61137,13641,11529.5,984,21760,7938,11389,5409,2087,606.5,204.5,472306,410,1057.5,316,406,5310,2486,3015.5,8,1695,29111,5187,11649,710.5,22277.5,167894,70252,368.5,271916,21991,52893,1790,15479,122,189556,1676.5,491.5,209,7259,1600,25,30523,3352,2651.5,70.5,5081.25,989.25,990,14696,22220.5,125.6666667,159281,1806,426,1611,1737,3495,1566.75,300,781,3924.25,2555,4324,926,35,2161,4029,2227,6150.166667,1928
47717.25,7306.365385,1162.043478,209.675,11853.96721,6904.713523,8447.285714,2681.142857,154.6666667,4384,13256,74987,229.5,1536,32343,66185,505,737,829,108,459,14239,4749.5,13,92866,15849,305664,705,30,142434,1432.5,965.5,1486,52210.5,15234,42,2088.5,846,4505,3569,2410,4553.5,65608,13637,10645.5,1065,29547,5794,22220,7820.666667,211,676.5,144,491739,571,1164.5,226,286,5272,2449,3637.5,17.33333333,1667,28139.5,7106,13616,1016,14926,145444,80561,2357.5,278404,24038,56470,2276,20929,158,126138,1592,358.5,210,14187,1092,26,27568,2961,2371,43.5,5420.25,1230.25,835.5,16179,20357.5,108.3333333,142944,1302,259.5,1574.5,2134,2870.5,1526.75,395,466,214,3112,3281,998,47,1367,4595,2088,7560.666667,2346
55780.25,7455.634615,1086.652174,170.075,10854.55738,7136.231317,10061.57143,2716.857143,175.3333333,3922,13906,67825,213,2085,37451,51513,449.6666667,657,866.5,231,512,12980,6140,14,95394,14969,290948,1133,16,131260,1356,798,1488,53224,11785,90.5,2064,990,5779,3226,4219,5281.5,47256,8113,5263,1057,17362,10421,14670,5449.333333,469,954,160.5,622129,1503,1396,215,492,5842,2238,3369.75,16,2364.666667,24938.5,4724,11534,1117.5,16697,150719,70329,1136.5,316625,33000,62097,1175,21069,123,99568,1211.5,261,193,10944,1321,19,25498,4264,2552.5,37.5,4549.75,1132.75,891,15565,18692.66667,92,86751,1512.5,215,1655,2792,1948.5,1627.25,503,443,284.25,2266,2223,1241,28,1392,5342,1771,10649.33333,2871
51662.5,8472.730769,885.826087,132.9,9048.229508,6785.955437,3718.571429,2920.142857,176.6666667,3659,13093.5,57718,230.5,1291,36044,45814,648,556,800,390,526,11114,5767,8,81925,12306,275288,1364,32,122151,1064,742.5,1607,50778,7487,136.5,1883.5,959,1584,2645,2637,3670,59081,8331,8185,1068,15557,9969,9075,4748,116,159,151.5,495769,2838,1321,284,500,5678,947,2741.5,13,1901.333333,29564,6316,7451,1084.5,22359.5,133459,2895,982.5,267451,34934,41728,1479,18359,170,150859,1038.5,160.5,176,13829,1327,24,21119,5572,3129,29,4469.75,1233.5,698,14873,20390.66667,80,58388,1682.5,133.5,1910.5,3045,2491,1713.75,392,354,373,1840,2366,966,76,2085,4882,1848,8346.666667,3532
59890.5,7958.307692,981.0869565,63.12765957,11487.60656,6666.435943,11285.57143,2089.142857,203.6666667,3131,12484.5,73827.5,229,1918,40166,83209,359,537,758,132,532,9724,6093.5,11,79420,11885,208084,1300,38,133792,1230,821,1303,50006.5,4852,103,1688.5,2216,5311,3438,2360,3444.5,65223,8532.666667,6628.5,1125,19955,5999,3219,4950.666667,177,208,164.5,694355,3143,1397,239,494,5353,623,2261.25,9.666666667,1189.666667,31082.5,3063.5,3916.5,1129.5,23469.5,128329,92101,98,237680,36044,41317,1155,20952,223,173315,840.5,164,117,11687,1557,40,21925,4590,2989,48,4376.25,984.75,874.5,14021,25976.33333,113,110835,1292.5,189.5,1566,2917,2379,1866.5,289,230,149.5,3695,2621,1043,113,1525,4637,2121,7685.666667,4428
62242.75,6826.403846,947.6521739,83.75510204,12226.32787,6459.778966,5996,1453.571429,167,4213,10361.5,73913,195.5,1284,39374,121525,296.6666667,567,833.5,92,562,11372,6077,11,72030,5585,208752,1828,25,156369,1367.5,773.5,1582.5,42192.5,7546,64.5,1845.5,1281,11832,2615,4732,3648.5,73377,8906.333333,7667,716,17335,178,5847,3080.333333,399,252.5,200.5,591563,4002,1168.5,255,573,5199,171,2893.75,10.66666667,1118.333333,37466,2893,8837.5,1121.5,27884,106336,118903,158,240635,34381,34565,1450,17952,216,94440,667.5,199,145,13364,1589,49,22577,4043,2965,38,3604,582.75,785,12361,16144.66667,115,94414,1577,129.5,1224.5,3138,2499,2002.75,325,188,1281.75,2309,2984,1223,104,983,5843,2439,5619,6934
66380,6182.403846,717.6521739,63.85714286,12415.72131,6893.313167,5302,2663.857143,239,4425,11610,67440.5,197,1787,32293,175372,301.6666667,640,999.5,24,614,15063,6510,11,94786,12319,260609,282,40,146734,1321.5,849.5,1539,36062,7311,71.5,1995.5,1588,19337,1546,4916,3721.5,50329,23623.66667,8682.5,702,16578,4772,14853,2106.333333,429,623.5,215,528633,5827,1123,303,451,4484,183,2530.75,9.666666667,1304,34502.5,3624,7086.5,1091,20513.5,82741,86311,159,213967,35014,41606,3887,17707,734,173065,998.5,104.5,215,13120,1672,50,19984,4109,3284.5,28.5,3157,334.75,644,12905,14839.5,92,77164,1548,76,1134,2950,2430,1066.25,320,180,1188.75,3592,3481,1225,121,737,6930,3015,5766.333333,7289
81331.75,6817.115385,615.6956522,62.8627451,12535.60656,6789.02669,7099.714286,2509.285714,310.6666667,3412,11390,56420,150.5,2779,37688,199018,280.6666667,686,869,81,604.5,13086,5919,10,61587,21475,210893,502,62,158390,1381,963.5,1483,39820,12751,80,1587.5,1559,4878,2035,4049,5649.5,48307,25580.33333,8701.5,630,22211,7077,15789,2327.333333,348,649.5,165.5,585350,7541,1056,285,346,4239,250,1736.75,29,1042,29433,4164.5,7302,1125.5,21865.5,81001,72876,20.5,232617,36753,35573,1032,20619,264,116043,1718,94,148,13004,907,35,18550,3580,3398,32.5,3279.75,296.75,566.5,7932,14993,63.66666667,61632,1246,82.5,1082.5,2879,3227,985.25,322,149,878,2883,3266,1022,192,822,5877,3188,5497.333333,5279
88964.25,6678.615385,647.5217391,47.875,12275.45902,6822.135472,6950.857143,2465.714286,253.6666667,2428,13039,58143.5,230.5,2401,32515,211472,313.6666667,778,1128,65,476,10705,6486.5,17,96072,30921,203088,1384,61,159512,1255,868.5,1225,38757.5,11404,91,1705.5,1687,1929,1937,3451,6196,41660,10155.33333,7315.5,525,38802,3782,8468,756.3333333,286,666,144.5,518363,6777,1186.5,298,253,3658,182,3387.75,66.66666667,873.6666667,32812.5,3465,2149.5,1032,23891,133841,44954,16.5,257435,35755,33717,248,21467,219,151538,2282,111,140,15004,808,68,21731,4794,3412,25.5,3561.5,377,582.5,8638,5301,57.33333333,83689,1324,65.5,454,3213,3249.5,1035.75,337,104,1736.75,3508,4431,1126,219,933,5891,3124,2435.5,5546
92112.75,6828.803922,765,44.17857143,11664.26667,7023.969314,5048.428571,2145.428571,184.3333333,1308,10588,29391.5,162,1870,41381,252933,233,745,1082,29,262.5,7291,5788,11,84898,55056,214062,1332,37,128478,1302,870.5,1376,40052,10488,129.5,1859.5,1605,7019,2271,3946,6487,50985,28575.33333,10508.5,429,32974,3923,6421,2076.333333,398,740.5,129.5,464157,7622,1254,248,186,3847,179,548.25,77.66666667,1028.666667,28105,3607.5,1310,1095.5,28594.5,69786,40011,5,267917,35905,34169,1212,20642,27,135155,63,43.5,153,13182,674,42,23972,5070,3338.5,18,3008.25,250,502.5,8577,7601.333333,61.33333333,114962,1539.5,54.5,346,2849,4120.5,821.75,392,69,153,314,2169,596,144,869,4903,2316,3700.666667,7210
89108,6052.333333,590.2272727,41.64912281,11226.76667,7050.20434,9723.571429,1350.142857,81,1350,9513.5,40990.5,202,1081,39854,217589,183,812,1208.5,360,259,6311,5563.5,17,96789,42206,194150,1707,29,132992,1064,745.5,1048,36096.5,16995,79.5,1632,1800,11414,1527,1681,5397,36716,22576.66667,8203,392,29785,6916,3499,2083,135,537,102,369924,7581,1251.5,229,188,3874,205,439,85.33333333,843.3333333,22410,3316.5,1188,957.5,25159.5,44472,55754,103.5,248910,34576,39597,297,19502,109,224356,71.5,97,148,10629,429,34,23176,6509,4293.5,33,2876.25,213.25,393,7453,3678.333333,47,119856,1143.5,61,274.5,3558,3914.5,792.5,350,97,393.5,739,2670,1015,139,776,3667,2652,1457.666667,4114
105312.5,6857.230769,382.3913043,38.94736842,10986.81967,6861.283422,427.2857143,1881,232.3333333,1106,7291.5,22485.5,173,731,43599,227172,112.3333333,784,1206.5,345,123,5710,4699,16,120833,56640,183742,1664,17,119439,1000,690.5,1112,37676,17616,61.5,1601,1866,12952,2165,1566,3831,68601,24734.66667,7947,546,40322,719,3333,3137,143,621.5,54.5,408943,3266,1417,221,219,4244,259,447,63,734.6666667,32822.5,2356,4785.5,1069.5,33319.5,67530,49178,0.5,235290,32594,37159,1169,23209,232,100590,61.5,156.5,180,12998,452,28,21422,6059,6800,14.5,2956,190,272.5,5492,9158.333333,43,108245,715,97.5,226.5,2978,3166,756,405,65,572.75,899,1701,653,183,836,2745,1863,1966.333333,1935
