"AMPHIBIA, REPTILIA",CRUSTACEA,INVERTEBRATA AQUATICA,MAMMALIA,MOLLUSCA,PISCES,PLANTAE AQUATICAE,Albacore,Alewife,Amer. plaice(=Long rough dab),American angler,American cupped oyster,American eel,American gizzard shad,American lobster,American sea scallop,American shad,American yellow perch,Atlantic Spanish mackerel,Atlantic bay scallop,Atlantic bluefin tuna,Atlantic cod,Atlantic croaker,Atlantic halibut,Atlantic herring,Atlantic mackerel,Atlantic menhaden,Atlantic rock crab,Atlantic searobins,Atlantic surf clam,Black drum,Black seabass,Black stone crab,Blue crab,Blue mussel,Blue runner,Bluefish,Buffalofishes nei,Californian anchovy,Caribbean spiny lobster,Catfishes nei,Chinook(=Spring=King) salmon,Chum(=Keta=Dog) salmon,"Clams, etc. nei",Coho(=Silver) salmon,Common carp,Dungeness crab,Euro-American crayfishes nei,Finfishes nei,Flatfishes nei,Freshwater fishes nei,Great Northern tilefish,"Grunts, sweetlips nei",Gulf menhaden,Haddock,King mackerel,Lake cisco,Lake trout(=Char),Lake(=Common) whitefish,Lingcod,Marine fishes nei,Mullets nei,Natantian decapods nei,Northern brown shrimp,Northern pink shrimp,Northern quahog(=Hard clam),Northern red snapper,Northern white shrimp,Ocean quahog,Opalescent inshore squid,Pacific bluefin tuna,Pacific cod,Pacific halibut,Pacific herring,Pacific jack mackerel,Pacific ocean perch,Periwinkles nei,Pink(=Humpback) salmon,"Porgies, seabreams nei",Rainbow smelt,Rainbow trout,Rays and skates nei,Red hake,River and lake turtles nei,Sablefish,Saithe(=Pollock),Sand gaper,Sand weakfish,"Scorpionfishes, redfishes nei","Sharks, rays, skates, etc. nei",Sheepshead,Silver hake,Skipjack tuna,"Snappers, jobfishes nei",Sockeye(=Red) salmon,Spot croaker,Spotted weakfish,Squeteague(=Gray weakfish),Striped bass,Summer flounder,Swordfish,Tropical spiny lobsters nei,Tusk(=Cusk),Various squids nei,Whelks,White hake,White perch,White weakfish,Whitefishes nei,Winter flounder,Witch flounder,Yellowfin tuna,Yellowtail flounder
111.4,9493.952381,126.3333333,7060.5,14728.03226,7961.15444,66214.5,7446,8478.666667,1603,15,85792,366,51,12700,103758,1097.333333,4398,1686,3188.5,1074,21133,1173.5,130,26419,1366,258943.5,882,100,88573,570.5,1452.5,217,34645.5,565,448,847,7177,3498,1272,17449,6115,21836,1433,5262,14017,7416,1003,27198,5736.5,8509,194.5,60,532044,60599,867,5308,149,630,1814,21617,6473,4743,39700,7660,46269,5755,22287,448,4666,9942,1391,12074.5,12358.5,44367,2890,62,49194,136,834.5,419,36,3979,490,1520.5,9710,13026,198,5644.5,303,185,45689,34634,164.5,47013,1794,1219.5,1014,1435.333333,7941,287.5,190,864,513.3333333,910,2366,1006,315,8488,8795,1197,87232,17871
86.8,9971.857143,88.22222222,5428.388889,13666.03226,8113.91635,64859.5,10418.5,8626,2018,21,68146,291,44,13379,93088,1339.333333,5655,2177.5,5904,3209,21278,742.5,115,71912,932,279246.5,910,52,99365,536,2140,297,35203,474,561,1343,8395,1254,1424,17063,5694.5,27373,1323,6291.5,13740,5299,1411,52056,6102,5451,85.5,51,506527,60895,943,4562,117,506,1425,24813.5,6526.666667,5194.5,43386,8373,42064,5684,24356,240,4249,14706,1445,12192,9428,40988,4008.5,66,65004,172,629,470,45,3051,384,2009,7409,16626,134,6346.5,122.3333333,218,47668,23183.5,220.5,26331,1758.5,1155,1073,1310,6163,221,235,843,730.6666667,1280,2598,1332,261,7763,9154,1203,28226,27483
68.2,11396.2381,100.4444444,4811,14449.33333,7102.840304,56479.5,13786.5,9441,2295,33,68138,440,12,13733,75337,1125.666667,5326,1768,2834.5,4541,19132,617.5,124,70203,1322,164860.5,1052,109,124271,536,2095,371,32944.5,820,689,1266,8299,2073,1626,17506,6164,17618,1082,6373.5,13628,5639,969,59487,6257.5,7081,61.5,42,493919,56234,1147,3845,58,490,1086.5,21888.5,6461.333333,4822,56076,10822,46765,5971,31481,376,5244,14198,2889,10335.5,8807.5,43474,5420.5,62,71034,132,733,616,43,3044,284,1466,6626,17254,133,5677.5,161,254,42022,24720,220.5,19697,1511,1222,816.5,1414.666667,4963,431.3333333,265,866,717.3333333,1832,2835,981,404,5933,8971,1420,25044.5,37508
86.4,11238.71429,109.3333333,3650.5,13438.78125,6546.407547,29420.75,10900,8313.333333,2786,32,72377,472,39,13915,63908,1046.666667,3993,1377,3527,1461,17576,559,140,28887,2146,127737.5,1033,316,122844,487.5,1841.5,428,35628,307,572,1054,8380,2257,1647,17265,6516,29866,1147,8624,15034,5226,1514,76314,5816.75,7022,298,28,456656,60554,785,2840,46,705,1186,23427,6316,3288,50772,9798,48034,6298,28504,408,7454,10891,2909,7948.5,11849,40816,4816.5,90,73630,271,845,201,47,1990,384,1829.5,6027,19512,91,4381.5,103.3333333,358,42743,17542.5,225.5,25980,2037.5,1210,1037.5,1301.333333,4440,489,203,1052,342.6666667,1129,3137,696,631,4282,10446,1595,33974,37581
95.6,13483.80952,99.22222222,2933.611111,14603.93548,6670.981343,31226,8440,11907.66667,3529,35,63680,709,418,13719,37918,1295,2849,1817,3477.5,1060,16351,785.5,149,34360,1963,137935.5,1031,235,141986,491.5,2018,396,38844,554,914,1136,8269,2600,2608,16331,6648.5,14182,1232.5,8703.5,13716,6557.5,3983,78448,5982.5,5650,313,49,507077,60733,1041.5,2191,56,792,1546.5,23250.5,6258.333333,4556.5,57250,11048,48229,6363,32141,336,8446,3809,4606,9184.5,7834.5,30326,6516,94,36131,485,570,231,68,1836,439,1651.5,5312,20003,165,4852.5,104.3333333,302,37454,15259.33333,227.5,33593,1162,1380.5,1231.5,1172.333333,4465,458,218,987,592,1032,2725,1007,648,5342,11621,1747,36060,36406
71.8,14041.85714,95.66666667,2954.222222,14729.6129,5891.802239,27634.25,8385.5,13222,3281,111,61451.5,580,231,13400,60359,1104.333333,3058,2148,3324.5,562.5,17044,766,140,32794,2720,86307.5,924,425,145287,455.5,1101.5,485,38555,331,1144,1243,8180,28250,2427,15719,6174.5,25631,844.5,8737,14673,9008.5,1485,52805,5961,5587,220.5,64,420558,60005,1025,2076,54,919,1805,20533.5,5749.666667,7810.5,51892,10014,50159,6000,29133,328,8630,8151.5,4528,9145.5,5467.5,18651,5036.5,94,73944,902,629,261,44,1080,326,1572,3969,21087,246,5793,115.6666667,382,41009,13735.5,202,23190,1354.5,1451.5,853,1380,4578,276,222,1006,613.5,2017,1624,1438,607,5030,14695,2380,60380,30384
79.6,14386.90476,89.11111111,3670.166667,13398.78788,5409.94382,30446.5,10963.5,15290.33333,3307,183,76061,724,737,12129,38701,1064.333333,2853,1788.5,2052,1940,20139,573.5,133,31685,3864,77417.5,839,253,145103,416,1062.5,441,33719.5,743,1156,970.5,8473,31575,2002,14934,5937.5,15630,1134.5,5965.333333,14534,9624.5,2052,50023,5914.25,5055,29,145,373019,44663,1383,1744,92,743,1938.5,25652.5,5183.333333,12352,63688,12291,52112,5837,35755,160,8891,6523,4153,9021.5,4150,17421,3582,103,23460,250,681.5,295,86,736,312,1604.5,3310,17378,283,5024,290.6666667,400,31545,18029.66667,224,14991,2494,1310,698.5,1587.666667,3873,306,204,779,588.3333333,1339,1270,1114,555,5630,12297,2576,32208,26259
62.2,12952.95238,93.11111111,3286.777778,13450.90909,5873.23221,31437.25,12673,12786,2691,148,80275,769,718,14755,22803,803,2759,2670.5,2785,807,22324,1054.5,114,41838,3453,100141,742,221,130597,378,943.5,636,26262.5,529,1065,1226,8661,7125.5,3247,14930,5860,27881,1145,5954.333333,13418,11333,2685,45414,5848.75,5202,17.5,186,423459,32044,1406,1671,127,861,2033,24333,4623.666667,12792.5,59030,11392,50595,5305,33139,816,11309,6124,2892,11675,3424.5,25360,3130,82,67346,143,742.5,307,48,599,257,1014,3202,18338,399,5770.5,83.66666667,436,35902,15614,273,34942.5,1422,1515,993.5,1682.666667,2926,182,142,612,574.3333333,1336,1275,1305,391,5573,9529,2836,34881.5,31752
68.2,13526.57143,86.55555556,2171.722222,13279.78788,5970.962547,30368,10911.5,13306,2857,85,65523.5,849,393,15313,13998.5,997.3333333,2534,2476,3951,1226,26083,1528.5,96,31371,4040,75084,715,103,159658,361.5,1037,620,31020.5,838,746,1355.5,7983,30762,3839,15056,6357.5,11255,1865,3324.333333,11483,10899,3585,38200,5860.5,5388,16.5,158,550880,20788,1407,1053,133,1162,1432.5,23223.5,5247,14181,58881,11363,52142,4632,33056,2320,9425,7232,1975,12263,6320.5,23646,3107,82,50900,174,861,311,65,704,298,1381.5,4115,23849,532,7490,80,612,20560,11789.5,265,18485.5,964,1254,1076.5,1880.666667,1782,213,140,487,500.3333333,1647,1378,1438,498,5097,11268,2548,46734.5,31705
80,9611.764706,58.57142857,910.7714286,9817.647059,4761.467662,35600,4520,9033.333333,2200,100,112400,550,400,15300,9350,550,2000,2350,8300,800,24600,2600,100,35100,2500,133100,400,100,118800,350,600,800,34400,1100,500,1400,9800,20400,3900,17900,4633.333333,12800,866.6666667,5936.666667,11900,9450,3100,19700,5725,5100,50,300,729900,9800,1300,500,100,1900,1400,11475,3500,24450,68800,10200,53700,5100,37200,7400,14300,2666.666667,2800,6400,3200,13600,2250,100,15000,200,850,300,100,1000,200,1350,4900,13950,700,6000,325,300,7600,11362.5,300,24150,1450,1350,2550,1166.666667,2400,25,100,800,400,1000,2600,1200,400,3400,5800,3300,12742.85714,28500
