year_month,Series ID_x,CPI,Series ID_y,PPI
1947/01,CUUR0000SEFG,17.0,,
1947/02,CUUR0000SEFG,16.2,,
1947/03,CUUR0000SEFG,16.7,,
1947/04,CUUR0000SEFG,16.4,,
1947/05,CUUR0000SEFG,16.0,,
1947/06,CUUR0000SEFG,16.0,,
1947/07,CUUR0000SEFG,16.3,,
1947/08,CUUR0000SEFG,16.5,,
1947/09,CUUR0000SEFG,17.3,,
1947/10,CUUR0000SEFG,18.0,,
1947/11,CUUR0000SEFG,19.0,,
1947/12,CUUR0000SEFG,19.0,,
1948/01,CUUR0000SEFG,19.5,,
1948/02,CUUR0000SEFG,19.8,,
1948/03,CUUR0000SEFG,19.7,,
1948/04,CUUR0000SEFG,19.3,,
1948/05,CUUR0000SEFG,19.2,,
1948/06,CUUR0000SEFG,18.8,,
1948/07,CUUR0000SEFG,18.9,,
1948/08,CUUR0000SEFG,19.1,,
1948/09,CUUR0000SEFG,19.8,,
1948/10,CUUR0000SEFG,20.5,,
1948/11,CUUR0000SEFG,20.6,,
1948/12,CUUR0000SEFG,20.6,,
1949/01,CUUR0000SEFG,20.9,,
1949/02,CUUR0000SEFG,20.6,,
1949/03,CUUR0000SEFG,20.5,,
1949/04,CUUR0000SEFG,20.2,,
1949/05,CUUR0000SEFG,19.8,,
1949/06,CUUR0000SEFG,19.6,,
1949/07,CUUR0000SEFG,19.3,,
1949/08,CUUR0000SEFG,19.4,,
1949/09,CUUR0000SEFG,19.6,,
1949/10,CUUR0000SEFG,19.3,,
1949/11,CUUR0000SEFG,18.9,,
1949/12,CUUR0000SEFG,18.8,,
1950/01,CUUR0000SEFG,18.9,,
1950/02,CUUR0000SEFG,18.5,,
1950/03,CUUR0000SEFG,18.9,,
1950/04,CUUR0000SEFG,18.7,,
1950/05,CUUR0000SEFG,18.4,,
1950/06,CUUR0000SEFG,18.6,,
1950/07,CUUR0000SEFG,18.7,,
1950/08,CUUR0000SEFG,19.0,,
1950/09,CUUR0000SEFG,19.6,,
1950/10,CUUR0000SEFG,20.6,,
1950/11,CUUR0000SEFG,21.1,,
1950/12,CUUR0000SEFG,21.4,,
1951/01,CUUR0000SEFG,21.7,,
1951/02,CUUR0000SEFG,21.8,,
1951/03,CUUR0000SEFG,22.1,,
1951/04,CUUR0000SEFG,22.1,,
1951/05,CUUR0000SEFG,22.2,,
1951/06,CUUR0000SEFG,22.4,,
1951/07,CUUR0000SEFG,22.2,,
1951/08,CUUR0000SEFG,22.4,,
1951/09,CUUR0000SEFG,22.2,,
1951/10,CUUR0000SEFG,22.2,,
1951/11,CUUR0000SEFG,22.1,,
1951/12,CUUR0000SEFG,22.1,,
1952/01,CUUR0000SEFG,22.1,,
1952/02,CUUR0000SEFG,22.1,,
1952/03,CUUR0000SEFG,21.8,,
1952/04,CUUR0000SEFG,21.8,,
1952/05,CUUR0000SEFG,21.7,,
1952/06,CUUR0000SEFG,21.6,,
1952/07,CUUR0000SEFG,21.5,,
1952/08,CUUR0000SEFG,21.3,,
1952/09,CUUR0000SEFG,21.3,,
1952/10,CUUR0000SEFG,21.2,,
1952/11,CUUR0000SEFG,21.1,,
1952/12,CUUR0000SEFG,21.0,,
1953/01,CUUR0000SEFG,21.0,,
1953/02,CUUR0000SEFG,20.8,,
1953/03,CUUR0000SEFG,20.8,,
1953/04,CUUR0000SEFG,20.8,,
1953/05,CUUR0000SEFG,20.8,,
1953/06,CUUR0000SEFG,20.7,,
1953/07,CUUR0000SEFG,20.7,,
1953/08,CUUR0000SEFG,20.7,,
1953/09,CUUR0000SEFG,20.7,,
1953/10,CUUR0000SEFG,20.7,,
1953/11,CUUR0000SEFG,20.7,,
1953/12,CUUR0000SEFG,20.6,,
1954/01,CUUR0000SEFG,20.7,,
1954/02,CUUR0000SEFG,20.8,,
1954/03,CUUR0000SEFG,20.9,,
1954/04,CUUR0000SEFG,20.9,,
1954/05,CUUR0000SEFG,21.0,,
1954/06,CUUR0000SEFG,21.0,,
1954/07,CUUR0000SEFG,21.0,,
1954/08,CUUR0000SEFG,20.9,,
1954/09,CUUR0000SEFG,20.8,,
1954/10,CUUR0000SEFG,20.9,,
1954/11,CUUR0000SEFG,20.6,,
1954/12,CUUR0000SEFG,20.6,,
